pl_discmethod,pl_disc,pl_locale,ra,dec,st_glon,st_glat,st_elon,st_elat,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_sp,st_spstr,st_logg,st_lum,st_metfe,st_metratio,st_vsini,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_bmassprov,pl_rade,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag
Transit,2011,Space,278.699254,-6.612234,25.152987,0.666416,279.017688,16.555154,920,15.46,V (Johnson),5740,1.04,1.59,4.2,G2 V,4.4,,0,[Fe/H],4.5,CoRoT-17,b,1,3.7681,0.0461,0,772.29,Mass,11.43,1,1,0,0,0,0
Transit,2011,Space,98.17241,-0.031586,210.819116,-4.184836,98.898264,-23.218794,870,15,V (Johnson),5440,0.95,1,4.9,G9 V,4.4,,-0.1,[Fe/H],8,CoRoT-18,b,1,1.9000693,0.0295,0.08,1102.82,Mass,14.68,1,1,0,0,0,0
Transit,2011,Space,97.033582,-0.170681,210.420555,-5.261174,97.668836,-23.422926,770,14.007,V (Johnson),6090,1.21,1.65,3.9,F9 V,4.07,0.544,-0.02,[Fe/H],6,CoRoT-19,b,1,3.89713,0.0518,0.047,352.78,Mass,14.46,1,1,0,0,0,0
Transit,2008,Space,291.777056,1.383714,38.262664,-7.29091,293.768937,23.043958,200,12.57,V (Johnson),5625,0.96,0.91,,,,,,,10.87,CoRoT-2,b,1,1.7429935,0.02798,0.0143,1102.82,Mass,16.432,1,1,0,0,0,0
Transit,2011,Space,97.720408,0.226919,210.381237,-4.468533,98.390927,-22.987775,1230,14.66,V (Johnson),5880,1.14,1.02,4.2,G2 V,4.2,,0.14,[Fe/H],4.5,CoRoT-20,b,1,9.24285,0.0902,0.562,1347.54,Mass,9.42,1,1,0,0,0,0
Transit,2014,Space,280.667115,6.219136,37.482976,4.775094,282.170394,29.208872,592,13.944,V (Johnson),5939,1.1,1.14,4.3,G3 V,4.36,,0.17,[Fe/H],4,CoRoT-22,b,1,9.75598,0.092,0.077,12.2,Mass,4.88,1,1,0,0,0,0
Transit,2011,Space,279.782615,4.357806,35.417464,4.719742,281.003499,27.424196,600,15.63,V (Johnson),5900,1.14,1.61,4,G0 V,4.3,,0.05,[Fe/H],9,CoRoT-23,b,1,3.6313,0.048,0.16,889.9,Mass,11.77,1,1,0,0,0,0
Transit,2014,Space,101.922547,-3.719301,215.817489,-2.527569,103.330918,-26.608527,600,,,4950,0.91,0.86,5.1,K1 V,4.55,,0.3,[Fe/H],2,CoRoT-24,b,2,5.1134,0.056,0,5.7,Mass,3.7,1,1,0,0,0,0
Transit,2014,Space,101.922547,-3.719301,215.817489,-2.527569,103.330918,-26.608527,600,,,4950,0.91,0.86,5.1,K1 V,4.55,,0.3,[Fe/H],2,CoRoT-24,c,2,11.759,0.098,0,28,Mass,5,1,1,0,0,0,0
Transit,2013,Space,280.629662,6.513829,37.730101,4.941217,282.156353,29.505654,1000,,,6040,1.09,1.19,3.9,F9,4.31,,-0.01,[Fe/H],4.3,CoRoT-25,b,1,4.86069,0.0578,0,85.81,Mass,12.11,1,1,0,0,0,0
Transit,2013,Space,279.750514,6.969787,37.744489,5.926071,281.196447,30.030888,1670,,,5590,1.09,1.79,4.5,G5,3.99,,0.01,[Fe/H],2,CoRoT-26,b,1,4.20474,0.0526,0,165.26,Mass,14.12,1,1,0,0,0,0
Transit,2014,Space,278.495813,5.538462,35.894565,6.396628,279.650212,28.693594,,15.54,V (Johnson),5900,1.05,1.08,4.2,G2,4.4,,-0.1,[M/H],4,CoRoT-27,b,1,3.57532,0.0476,0.065,3302.11,Mass,11.287,1,1,0,0,0,0
Transit,2015,Space,278.688338,5.57373,36.013038,6.241398,279.870903,28.715798,560,,,5150,1.01,1.78,4.85,G8/9 IV,3.6,,0.15,[Fe/H],3,CoRoT-28,b,1,5.20851,0.0603,0.047,153.82972,Mass,10.705,1,1,0,0,0,0
Transit,2015,Space,278.902103,6.479651,36.923396,6.458815,280.186009,29.604712,765,,,5260,0.97,0.9,5,K0 V,4.3,,0.2,[Fe/H],3.5,CoRoT-29,b,1,2.85057,0.0386,0.082,270.1555,Mass,10.088,1,1,0,0,0,0
Transit,2008,Space,292.055263,0.12182,37.262944,-8.120552,293.84673,21.753769,680,13.292,V (Johnson),6740,1.37,1.56,3.3,F3 V,4.22,,,,17,CoRoT-3,b,1,4.2568,,0,6883.91,Mass,11.32,1,1,0,0,0,0
Transit,2008,Space,102.194663,-0.672774,213.227628,-0.898357,103.321178,-23.549905,,,,6190,1.16,1.17,,,4.41,,,,6.4,CoRoT-4,b,1,9.20205,0.09,0,228.83,Mass,13.34,1,1,0,0,0,0
Transit,2009,Space,101.277254,0.815239,211.484737,-1.036103,102.187689,-22.148195,,,,6100,1,1.19,3.9,F9 V,4.19,,-0.25,[M/H],1,CoRoT-5,b,1,4.0378962,0.04947,0.09,148.42,Mass,15.558,1,1,0,0,0,0
Transit,2009,Space,281.072525,6.663194,38.062962,4.615925,282.675017,29.616591,,13.912,V (Johnson),6090,1.05,1.02,3.9,F9 V,4.43,,-0.2,[Fe/H],7.6,CoRoT-6,b,1,8.886593,0.0855,0.1,940.74,Mass,13.068,1,1,0,0,0,0
Transit,2009,Space,100.956125,-1.063033,213.01046,-2.178513,102.010052,-24.046701,153.7,11.668,V (Johnson),5275,0.82,0.83,4.9,G9 V,4.5,,0.05,[Fe/H],3.5,CoRoT-7,b,2,0.85359,,0,3.1783,Mass,1.681,1,1,0,0,0,0
Radial Velocity,2009,Space,100.956125,-1.063033,213.01046,-2.178513,102.010052,-24.046701,153.7,11.668,V (Johnson),5275,0.82,0.83,4.9,G9 V,4.5,,0.05,[Fe/H],3.5,CoRoT-7,c,2,3.698,0.046,0,8.4,Mass,,0,1,0,0,0,0
Transit,2010,Space,291.588518,1.426452,38.21292,-7.104052,293.57411,23.116257,380,14.8,V (Johnson),5080,0.88,0.77,5.1,K1 V,4.58,,0.3,[M/H],2,CoRoT-8,b,1,6.21229,0.063,0,69.92,Mass,6.39,1,1,0,0,0,0
Transit,2009,Space,280.786712,6.204172,37.523411,4.66224,282.304648,29.183878,460,13.69,V (Johnson),5625,0.96,0.96,4.3,G3 V,4.54,,-0.01,[Fe/H],3.5,CoRoT-9,b,1,95.272656,0.4021,0.133,266.9772,Mass,11.949,1,1,0,0,0,0
